,WorkerID,CommitNumber,T0,T1,deltaT,Complexity
64,2,e6b10e4f2370d65e1f26dc8255385735a68844bd,24.489341358068813,24.797717370216777,0.3083760121479635,355
65,1,4aa2f4b37bee7c3743a582793d8fe5c36c3a056e,24.68567034791196,24.93663162408996,0.2509612761779998,355
66,2,30768489ebb9d6570522ed995ed943e3b11db4dd,24.80182503898347,25.085995927339773,0.28417088835630366,355
67,1,304d6cad2d359333120558836a5bd199cd6c94cc,24.940232398362184,25.18246888980624,0.24223649144405712,355
68,2,bd892ab2efe52862e717dca9562ae2c92fccc543,25.08883088978582,25.328030025658343,0.2391991358725214,355
69,1,256580620a4055eafabc197ea39ee06050066961,25.186080968919708,25.435885139895586,0.24980417097587804,355
70,2,ce2b6da9fb1e2cb3518f0551246e31f448a4e1d9,25.331517022173536,25.588306855693336,0.2567898335198002,355
71,1,5a960fcf8029dd93927239976fcc4fed120bbf28,25.439567236090305,25.67363397403825,0.23406673794794486,355
72,2,e8f4707259d194ef81fdc3009c27aeea98a4beec,25.591224963423368,25.84112868993665,0.2499037265132813,355
73,1,a859ececb7d9909651f69ad663f323d1f80167a4,25.676685187157116,25.905860210897284,0.22917502374016863,355
74,2,0004360efc4d1254a6a228e66bb138d57de17bf3,25.8441233788493,26.11508474254865,0.27096136369934953,355
75,1,16ad2ff01fc0589bc66eccbd18ac632b10e87b37,25.90898800519877,26.160827412270784,0.2518394070720156,355
76,2,1f360bb2ff20d5b3a4c0cf404d24e62ea891476f,26.118092924336334,26.365967614182544,0.24787468984620986,355
77,1,217b22a86af8dac63b9c7b7c6f14f9d95d37cb7b,26.164223970056028,26.412489953278186,0.24826598322215787,355
78,2,4810fc033b3518fa5dfe8ec57f1c9cbc6c82e23f,26.369203716156587,26.630256568842107,0.2610528526855198,355
79,1,106f8d8ed3220573ace431faa1cb71ef8b2b4bf8,26.415686670644025,26.672388618139966,0.2567019474959409,355
80,2,bb5ae4a4d49e6aafd05c3817273e3d575c5024c6,26.63383765081023,26.885004237492105,0.25116658668187597,355
81,1,2ecb64d431b01578e30f931acfb77f5225bbf2e0,26.67543654920815,26.94388896749603,0.2684524182878789,355
82,2,e15b1a19cc1e017935a6a8a3c46ff4fd4fecd3bf,26.888401159949645,27.181382895702264,0.292981735752619,355
83,1,168d1e77ac8f282953f977024040daf769a46797,26.94711741135181,27.210247072775463,0.26312966142365113,350
84,2,526e027f0fbbbfcdb69137a329963ad0d030e8f3,27.185166370795876,27.447685935464673,0.26251956466879633,350
85,1,6c8b080f04598a1730b28666db058e7157497985,27.213353351411353,27.448552761517444,0.23519941010609102,350
86,2,96021ce5b8e72890ac3c94fd7c8e776401c6bfca,27.45134396328771,27.730733633142584,0.2793896698548757,350
87,1,279c3c8b2e67631ca098e945401c20e9ded5e812,27.452107587080096,27.71894487175934,0.2668372846792444,345
88,1,015747196636669cf022ad0c5cba4aeba675239f,27.72209928713859,27.982752094313007,0.2606528071744165,345
89,2,a767332c3cc57ad30d082bdaa2cef5dc4276b575,27.734353370374315,27.985458692110097,0.25110532173578193,345
90,1,394e9dd394cb8ac8d7e5e59f27f7f6dc35697b9b,27.986502019555186,28.228947103553804,0.24244508399861786,345
91,2,d8e400023b6434aa721b1ed89a0d5d09b408ee82,27.98895480543274,28.23596121053699,0.24700640510424776,345
92,1,52a70523f7ced72faa292194eaac75b7a1b04880,28.23226161007196,28.498619350679093,0.266357740607134,345
93,2,22082d26611b966ec63ca295e8e68a93f017c99c,28.239035033338343,28.51310741641346,0.2740723830751186,345
94,1,87198d8e4d8402153c13883ae4129f2acba2e29e,28.50139414219594,28.779093555948755,0.2776994137528135,345
95,2,4c922f4270a903346d200a9c1156aff0c1d3da58,28.516280065407624,28.745856228675787,0.2295761632681632,307
